timestamp_ms,cpu_frame_ms,cpu_world_ms,cpu_gen_ms,cpu_mesh_ms,cpu_upload_ms,cpu_render_submit_ms,cpu_wait_ms,chunks_loaded,chunks_visible,chunks_meshed,mesh_jobs_pending,gen_jobs_pending,io_jobs_pending,io_jobs_dropped,bytes_uploaded,draw_calls,triangles,player_x,player_y,player_z
23,4.659,0.000,0.000,0.000,0.000,0.000,0.000,1205,132,151,46,6,0,0,0,132,446264,1.1,200.0,0.0
42,6.771,0.000,0.000,0.000,0.000,0.000,0.000,1211,126,152,44,6,0,0,0,126,377646,2.1,200.0,0.0
64,3.904,0.000,0.000,0.000,0.000,0.000,0.000,1217,126,154,43,6,0,0,0,126,377910,3.2,200.0,0.0
91,3.896,0.000,0.000,0.000,0.000,0.000,0.000,1223,133,157,40,6,0,0,0,133,390852,4.5,200.0,0.0
112,7.243,0.000,0.000,0.000,0.000,0.000,0.000,1229,133,160,37,6,0,0,0,133,390852,5.6,200.0,0.1
216,5.015,0.000,0.000,0.000,0.000,0.000,0.000,1235,132,161,35,6,0,0,0,132,390012,10.6,200.0,0.2
223,3.196,0.000,0.000,0.000,0.000,0.000,0.000,1240,133,163,34,7,0,0,0,133,390230,10.9,200.0,0.2
229,4.860,0.000,0.000,0.000,0.000,0.000,0.000,1245,133,163,34,8,0,0,0,133,390230,11.2,200.0,0.2
268,3.924,0.000,0.000,0.000,0.000,0.000,0.000,1253,142,164,31,4,0,0,0,142,424252,12.9,200.0,0.3
292,8.594,0.000,0.000,0.000,0.000,0.000,0.000,1257,147,167,30,0,0,0,0,147,437500,14.2,200.0,0.4
317,6.674,0.000,0.000,0.000,0.000,0.000,0.000,1257,148,170,27,0,0,0,0,148,447278,15.5,200.0,0.4
341,6.252,0.000,0.000,0.000,0.000,0.000,0.000,1257,148,172,24,0,0,0,0,148,457936,16.7,200.0,0.5
365,5.991,0.000,0.000,0.000,0.000,0.000,0.000,1257,149,174,22,6,0,0,0,149,470216,17.9,200.0,0.6
392,5.041,0.000,0.000,0.000,0.000,0.000,0.000,1263,155,177,20,6,0,0,0,155,486420,19.3,200.0,0.7
423,5.391,0.000,0.000,0.000,0.000,0.000,0.000,1269,162,180,17,6,0,0,0,162,534330,20.6,200.0,0.8
461,9.435,0.000,0.000,0.000,0.000,0.000,0.000,1275,173,184,12,6,0,0,0,173,592438,22.6,200.0,0.9
555,7.906,0.000,0.000,0.000,0.000,0.000,0.000,1281,171,185,12,6,0,0,0,171,580566,27.5,200.0,1.4
564,3.158,0.000,0.000,0.000,0.000,0.000,0.000,1286,171,185,12,7,0,0,0,171,598740,27.8,200.0,1.4
572,6.544,0.000,0.000,0.000,0.000,0.000,0.000,1293,170,185,10,5,0,0,0,170,603502,28.2,200.0,1.4
617,7.051,0.000,0.000,0.000,0.000,0.000,0.000,1298,174,190,6,0,0,0,0,174,588784,30.2,200.0,1.6
683,11.585,0.000,0.000,0.000,0.000,0.000,0.000,1298,180,191,4,0,0,0,0,180,621250,33.8,200.0,2.1
711,5.668,0.000,0.000,0.000,0.000,0.000,0.000,1298,184,193,4,6,0,0,0,184,679308,34.4,200.0,2.1
730,21.069,0.000,0.000,0.000,0.000,0.000,0.000,1304,185,193,3,6,0,0,0,185,683858,35.8,200.0,2.3
785,11.963,0.000,0.000,0.000,0.000,0.000,0.000,1310,189,195,0,6,0,0,0,189,696534,37.4,200.0,2.5
836,34.908,0.000,0.000,0.000,0.000,0.000,0.000,1316,197,197,0,6,0,0,0,197,736124,41.2,200.0,3.1
850,8.446,0.000,0.000,0.000,0.000,0.000,0.000,1322,199,197,0,6,0,0,0,199,759044,41.9,200.0,3.2
894,7.179,0.000,0.000,0.000,0.000,0.000,0.000,1328,208,197,0,6,0,0,0,208,815076,44.0,200.0,3.5
912,8.909,0.000,0.000,0.000,0.000,0.000,0.000,1334,217,197,0,5,0,0,0,217,840360,45.1,200.0,3.7
947,6.451,0.000,0.000,0.000,0.000,0.000,0.000,1339,220,197,0,0,0,0,0,220,849840,46.6,200.0,4.0
975,9.910,0.000,0.000,0.000,0.000,0.000,0.000,1339,224,197,0,0,0,0,0,224,857732,48.0,200.0,4.2
1003,9.918,0.000,0.000,0.000,0.000,0.000,0.000,1339,231,197,0,0,0,0,0,231,865020,49.4,200.0,4.5
1054,8.075,0.000,0.000,0.000,0.000,0.000,0.000,1314,235,197,0,6,0,0,0,235,902666,50.8,200.0,4.7
1070,32.275,0.000,0.000,0.000,0.000,0.000,0.000,1320,236,197,0,6,0,0,0,236,914266,52.8,200.0,5.1
1110,7.076,0.000,0.000,0.000,0.000,0.000,0.000,1326,238,197,0,6,0,0,0,238,947876,54.7,200.0,5.5
1140,7.490,0.000,0.000,0.000,0.000,0.000,0.000,1332,238,197,0,6,0,0,0,238,1000718,56.1,200.0,5.8
1168,8.999,0.000,0.000,0.000,0.000,0.000,0.000,1338,242,197,0,6,0,0,0,242,1000726,57.6,200.0,6.1
1198,7.083,0.000,0.000,0.000,0.000,0.000,0.000,1344,249,197,0,6,0,0,0,249,1010298,59.1,200.0,6.4
1229,7.583,0.000,0.000,0.000,0.000,0.000,0.000,1350,257,197,0,5,0,0,0,257,1038626,60.5,200.0,6.7
1259,8.227,0.000,0.000,0.000,0.000,0.000,0.000,1355,263,197,0,0,0,0,0,263,1066880,62.0,200.0,7.1
1292,7.845,0.000,0.000,0.000,0.000,0.000,0.000,1355,264,197,0,0,0,0,0,264,1099676,63.5,200.0,7.4
1322,9.886,0.000,0.000,0.000,0.000,0.000,0.000,1355,276,197,0,0,0,0,0,276,1118634,65.1,200.0,7.8
1379,7.973,0.000,0.000,0.000,0.000,0.000,0.000,1320,280,197,0,6,0,0,0,280,1160174,66.7,200.0,8.2
1413,30.964,0.000,0.000,0.000,0.000,0.000,0.000,1326,279,197,0,6,0,0,0,279,1160172,69.4,200.0,8.9
1439,8.355,0.000,0.000,0.000,0.000,0.000,0.000,1332,273,197,0,6,0,0,0,273,1157732,70.8,200.0,9.3
1473,6.284,0.000,0.000,0.000,0.000,0.000,0.000,1338,269,197,0,6,0,0,0,269,1119830,72.4,200.0,9.6
1506,6.475,0.000,0.000,0.000,0.000,0.000,0.000,1344,285,197,0,6,0,0,0,285,1167768,73.9,200.0,10.4
1542,6.216,0.000,0.000,0.000,0.000,0.000,0.000,1350,250,197,0,6,0,0,0,250,964900,75.5,200.0,9.7
1575,7.457,0.000,0.000,0.000,0.000,0.000,0.000,1356,381,197,0,5,0,0,0,381,1765678,76.0,200.0,11.2
1606,7.028,0.000,0.000,0.000,0.000,0.000,0.000,1361,224,197,0,0,0,0,0,224,485124,77.6,200.0,11.0
1646,5.894,0.000,0.000,0.000,0.000,0.000,0.000,1361,352,197,0,0,0,0,0,352,1468872,79.5,200.0,11.8
1677,5.683,0.000,0.000,0.000,0.000,0.000,0.000,1361,282,197,0,0,0,0,0,282,1034224,80.9,200.0,12.2
1751,6.733,0.000,0.000,0.000,0.000,0.000,0.000,1324,309,197,0,6,0,0,0,309,1132366,83.1,200.0,12.9
1758,34.129,0.000,0.000,0.000,0.000,0.000,0.000,1330,308,197,0,6,0,0,0,308,1070618,84.8,200.0,13.4
1805,6.191,0.000,0.000,0.000,0.000,0.000,0.000,1336,316,197,0,6,0,0,0,316,1089278,87.0,200.0,14.2
1859,5.884,0.000,0.000,0.000,0.000,0.000,0.000,1342,311,197,0,6,0,0,0,311,1058090,89.5,200.0,15.0
1897,7.310,0.000,0.000,0.000,0.000,0.000,0.000,1348,314,197,0,6,0,0,0,314,1057508,91.1,200.0,15.6
1929,10.589,0.000,0.000,0.000,0.000,0.000,0.000,1354,317,197,0,6,0,0,0,317,1035228,92.7,200.0,15.8
1961,10.507,0.000,0.000,0.000,0.000,0.000,0.000,1360,352,197,0,5,0,0,0,352,1251584,92.8,200.0,17.6
2003,7.374,0.000,0.000,0.000,0.000,0.000,0.000,1352,227,197,0,6,0,0,0,227,174762,94.3,200.0,16.7
2029,14.401,0.000,0.000,0.000,0.000,0.000,0.000,1358,431,197,0,6,0,0,0,431,2151876,95.9,200.0,17.4
2061,6.569,0.000,0.000,0.000,0.000,0.000,0.000,1364,334,197,0,6,0,0,0,334,988300,97.4,200.0,17.9
2125,6.855,0.000,0.000,0.000,0.000,0.000,0.000,1341,343,197,0,6,0,0,0,343,1025408,99.3,200.0,18.7
2132,28.785,0.000,0.000,0.000,0.000,0.000,0.000,1347,350,197,0,6,0,0,0,350,1004470,100.7,200.0,19.3
2198,5.737,0.000,0.000,0.000,0.000,0.000,0.000,1353,353,197,0,6,0,0,0,353,1003150,103.7,200.0,20.5
2232,7.966,0.000,0.000,0.000,0.000,0.000,0.000,1359,359,197,0,6,0,0,0,359,979076,105.2,200.0,21.2
2268,8.560,0.000,0.000,0.000,0.000,0.000,0.000,1365,363,197,0,6,0,0,0,363,956600,106.8,200.0,21.6
2300,11.448,0.000,0.000,0.000,0.000,0.000,0.000,1371,376,197,0,2,0,0,0,376,1112948,106.6,200.0,23.4
2333,8.396,0.000,0.000,0.000,0.000,0.000,0.000,1373,285,197,0,0,0,0,0,285,82706,107.9,200.0,22.5
2370,8.491,0.000,0.000,0.000,0.000,0.000,0.000,1373,450,197,0,0,0,0,0,450,2443756,109.6,200.0,23.1
2402,9.702,0.000,0.000,0.000,0.000,0.000,0.000,1373,386,197,0,0,0,0,0,386,1001446,111.1,200.0,23.7
2447,9.940,0.000,0.000,0.000,0.000,0.000,0.000,1373,383,197,0,0,0,0,0,383,909498,113.0,200.0,24.6
2520,11.993,0.000,0.000,0.000,0.000,0.000,0.000,1334,390,197,0,6,0,0,0,390,909512,114.4,200.0,25.3
2528,53.653,0.000,0.000,0.000,0.000,0.000,0.000,1340,395,197,0,6,0,0,0,395,892792,116.9,200.0,26.5
2601,6.596,0.000,0.000,0.000,0.000,0.000,0.000,1346,401,197,0,6,0,0,0,401,882242,119.0,200.0,27.6
2639,32.327,0.000,0.000,0.000,0.000,0.000,0.000,1352,405,197,0,6,0,0,0,405,813558,121.8,200.0,28.9
2711,9.614,0.000,0.000,0.000,0.000,0.000,0.000,1358,407,197,0,6,0,0,0,407,854896,124.7,200.0,30.7
2724,12.656,0.000,0.000,0.000,0.000,0.000,0.000,1364,397,197,0,6,0,0,0,397,705642,124.1,200.0,30.4
2768,11.716,0.000,0.000,0.000,0.000,0.000,0.000,1370,419,197,0,1,0,0,0,419,1922292,126.3,200.0,30.5
2803,12.261,0.000,0.000,0.000,0.000,0.000,0.000,1371,430,197,0,0,0,0,0,430,1479246,125.0,200.0,31.5
2845,14.698,0.000,0.000,0.000,0.000,0.000,0.000,1371,370,197,0,0,0,0,0,370,195208,127.1,200.0,31.9
2896,13.564,0.000,0.000,0.000,0.000,0.000,0.000,1371,438,197,0,0,0,0,0,438,1235298,129.6,200.0,33.3
2979,7.952,0.000,0.000,0.000,0.000,0.000,0.000,1320,426,197,0,6,0,0,0,426,731812,131.4,200.0,34.3
2987,48.711,0.000,0.000,0.000,0.000,0.000,0.000,1326,429,197,0,6,0,0,0,429,719004,133.5,200.0,35.6
3058,8.297,0.000,0.000,0.000,0.000,0.000,0.000,1332,425,197,0,6,0,0,0,425,703250,136.5,200.0,37.4
3079,8.566,0.000,0.000,0.000,0.000,0.000,0.000,1338,417,197,0,6,0,0,0,417,675690,135.7,200.0,36.9
3113,8.466,0.000,0.000,0.000,0.000,0.000,0.000,1344,431,197,0,6,0,0,0,431,1889704,137.1,200.0,37.8
3148,8.943,0.000,0.000,0.000,0.000,0.000,0.000,1350,418,197,0,6,0,0,0,418,675692,138.5,200.0,38.7
3186,10.767,0.000,0.000,0.000,0.000,0.000,0.000,1356,423,197,0,6,0,0,0,423,671990,140.1,200.0,39.7
3217,11.076,0.000,0.000,0.000,0.000,0.000,0.000,1362,424,197,0,6,0,0,0,424,633282,138.7,200.0,38.9
3249,11.075,0.000,0.000,0.000,0.000,0.000,0.000,1368,434,197,0,5,0,0,0,434,1856584,140.2,200.0,39.8
3282,9.093,0.000,0.000,0.000,0.000,0.000,0.000,1373,430,197,0,0,0,0,0,430,633294,141.6,200.0,40.7
3337,8.594,0.000,0.000,0.000,0.000,0.000,0.000,1373,423,197,0,0,0,0,0,423,613474,143.9,200.0,42.2
3367,8.955,0.000,0.000,0.000,0.000,0.000,0.000,1373,420,197,0,0,0,0,0,420,597396,145.1,200.0,43.1
3435,8.252,0.000,0.000,0.000,0.000,0.000,0.000,1335,419,197,0,6,0,0,0,419,581792,146.4,200.0,44.0
3445,44.560,0.000,0.000,0.000,0.000,0.000,0.000,1341,419,197,0,6,0,0,0,419,581792,148.2,200.0,45.3
3506,9.521,0.000,0.000,0.000,0.000,0.000,0.000,1347,421,197,0,6,0,0,0,421,552076,150.9,200.0,46.9
3532,8.953,0.000,0.000,0.000,0.000,0.000,0.000,1353,430,197,0,6,0,0,0,430,663374,149.7,200.0,46.2
3565,7.934,0.000,0.000,0.000,0.000,0.000,0.000,1359,424,197,0,6,0,0,0,424,1616404,150.9,200.0,47.4
3597,8.939,0.000,0.000,0.000,0.000,0.000,0.000,1365,422,197,0,6,0,0,0,422,391884,152.5,200.0,47.3
3631,8.614,0.000,0.000,0.000,0.000,0.000,0.000,1371,448,197,0,1,0,0,0,448,1651674,151.6,200.0,48.8
3679,8.872,0.000,0.000,0.000,0.000,0.000,0.000,1348,400,197,0,6,0,0,0,400,21986,153.1,200.0,48.7
3695,25.774,0.000,0.000,0.000,0.000,0.000,0.000,1354,450,197,0,6,0,0,0,450,1794296,154.2,200.0,49.9
3737,10.215,0.000,0.000,0.000,0.000,0.000,0.000,1360,429,197,0,6,0,0,0,429,279394,156.1,200.0,51.0
3797,9.028,0.000,0.000,0.000,0.000,0.000,0.000,1366,441,197,0,6,0,0,0,441,674674,157.6,200.0,53.4
3822,11.393,0.000,0.000,0.000,0.000,0.000,0.000,1372,418,197,0,3,0,0,0,418,100290,157.1,200.0,52.0
3853,7.685,0.000,0.000,0.000,0.000,0.000,0.000,1375,453,197,0,0,0,0,0,453,3177562,158.2,200.0,53.0
3883,9.208,0.000,0.000,0.000,0.000,0.000,0.000,1375,428,197,0,0,0,0,0,428,390336,159.4,200.0,53.9
3930,8.255,0.000,0.000,0.000,0.000,0.000,0.000,1375,430,197,0,0,0,0,0,430,495770,161.1,200.0,55.5
3988,9.170,0.000,0.000,0.000,0.000,0.000,0.000,1344,424,197,0,6,0,0,0,424,361668,160.2,200.0,54.6
3998,41.805,0.000,0.000,0.000,0.000,0.000,0.000,1350,439,197,0,6,0,0,0,439,2384268,161.8,200.0,56.0
4055,9.271,0.000,0.000,0.000,0.000,0.000,0.000,1356,423,197,0,6,0,0,0,423,376858,164.0,200.0,57.9
4089,9.159,0.000,0.000,0.000,0.000,0.000,0.000,1362,423,197,0,6,0,0,0,423,390326,162.6,200.0,56.8
4119,9.149,0.000,0.000,0.000,0.000,0.000,0.000,1368,436,197,0,5,0,0,0,436,2026176,163.8,200.0,57.7
4150,9.771,0.000,0.000,0.000,0.000,0.000,0.000,1373,433,197,0,0,0,0,0,433,407152,165.0,200.0,58.8
4187,8.327,0.000,0.000,0.000,0.000,0.000,0.000,1373,435,197,0,0,0,0,0,435,376026,166.3,200.0,60.0
4215,9.413,0.000,0.000,0.000,0.000,0.000,0.000,1373,434,197,0,0,0,0,0,434,375446,167.3,200.0,61.0
4250,9.182,0.000,0.000,0.000,0.000,0.000,0.000,1373,434,197,0,0,0,0,0,434,343430,166.3,200.0,59.8
4282,12.450,0.000,0.000,0.000,0.000,0.000,0.000,1373,436,197,0,0,0,0,0,436,2263780,167.4,200.0,61.0
4336,11.062,0.000,0.000,0.000,0.000,0.000,0.000,1373,432,197,0,0,0,0,0,432,245612,169.4,200.0,63.0
4363,9.418,0.000,0.000,0.000,0.000,0.000,0.000,1373,432,197,0,0,0,0,0,432,343426,169.4,200.0,63.0
4390,8.344,0.000,0.000,0.000,0.000,0.000,0.000,1373,432,197,0,0,0,0,0,432,344254,170.4,200.0,64.0
4419,8.043,0.000,0.000,0.000,0.000,0.000,0.000,1373,431,197,0,0,0,0,0,431,326926,171.4,200.0,65.0
4469,8.315,0.000,0.000,0.000,0.000,0.000,0.000,1348,431,197,0,6,0,0,0,431,245610,170.4,200.0,63.9
4476,28.918,0.000,0.000,0.000,0.000,0.000,0.000,1354,432,197,0,0,0,0,0,432,2191094,171.4,200.0,65.0
4521,6.693,0.000,0.000,0.000,0.000,0.000,0.000,1354,430,197,0,6,0,0,0,430,244818,172.9,200.0,66.5
4592,8.999,0.000,0.000,0.000,0.000,0.000,0.000,1360,430,197,0,6,0,0,0,430,244818,175.3,200.0,69.1
4611,8.326,0.000,0.000,0.000,0.000,0.000,0.000,1366,427,197,0,6,0,0,0,427,243512,174.7,200.0,68.4
4645,8.673,0.000,0.000,0.000,0.000,0.000,0.000,1372,436,197,0,5,0,0,0,436,2126054,174.7,200.0,68.4
4674,9.639,0.000,0.000,0.000,0.000,0.000,0.000,1377,411,197,0,0,0,0,0,411,822,175.7,200.0,69.5
4709,9.227,0.000,0.000,0.000,0.000,0.000,0.000,1377,428,197,0,0,0,0,0,428,210802,176.9,200.0,70.7
4773,9.145,0.000,0.000,0.000,0.000,0.000,0.000,1346,427,197,0,6,0,0,0,427,244274,175.9,200.0,69.8
4783,46.182,0.000,0.000,0.000,0.000,0.000,0.000,1352,443,197,0,0,0,0,0,443,2020210,177.5,200.0,71.5
4839,9.234,0.000,0.000,0.000,0.000,0.000,0.000,1352,425,197,0,6,0,0,0,425,211460,179.2,200.0,73.6
4872,10.518,0.000,0.000,0.000,0.000,0.000,0.000,1358,421,197,0,6,0,0,0,421,130654,178.2,200.0,72.3
4898,10.857,0.000,0.000,0.000,0.000,0.000,0.000,1364,442,197,0,6,0,0,0,442,2263116,179.1,200.0,73.4
4928,8.581,0.000,0.000,0.000,0.000,0.000,0.000,1370,433,197,0,5,0,0,0,433,177726,179.1,200.0,73.4
4964,9.471,0.000,0.000,0.000,0.000,0.000,0.000,1375,434,197,0,0,0,0,0,434,229696,180.3,200.0,74.8
4991,8.352,0.000,0.000,0.000,0.000,0.000,0.000,1375,436,197,0,0,0,0,0,436,177732,179.4,200.0,73.8
5019,8.649,0.000,0.000,0.000,0.000,0.000,0.000,1375,441,197,0,0,0,0,0,441,2161128,180.3,200.0,74.8
5049,8.781,0.000,0.000,0.000,0.000,0.000,0.000,1375,437,197,0,0,0,0,0,437,177734,181.2,200.0,75.9
5118,10.247,0.000,0.000,0.000,0.000,0.000,0.000,1375,436,197,0,0,0,0,0,436,161108,183.4,200.0,78.7
5137,8.357,0.000,0.000,0.000,0.000,0.000,0.000,1375,432,197,0,0,0,0,0,432,126760,182.8,200.0,77.9
5169,8.716,0.000,0.000,0.000,0.000,0.000,0.000,1375,437,197,0,0,0,0,0,437,2208278,181.8,200.0,76.7
5199,9.538,0.000,0.000,0.000,0.000,0.000,0.000,1375,439,197,0,0,0,0,0,439,2219648,182.7,200.0,77.8
5236,9.579,0.000,0.000,0.000,0.000,0.000,0.000,1375,434,197,0,0,0,0,0,434,126764,183.9,200.0,79.3
5272,9.871,0.000,0.000,0.000,0.000,0.000,0.000,1375,431,197,0,0,0,0,0,431,112122,182.8,200.0,78.0
5300,10.415,0.000,0.000,0.000,0.000,0.000,0.000,1375,437,197,0,0,0,0,0,437,2209244,183.6,200.0,79.1
5326,11.219,0.000,0.000,0.000,0.000,0.000,0.000,1375,432,197,0,0,0,0,0,432,112124,184.4,200.0,80.1
5386,11.245,0.000,0.000,0.000,0.000,0.000,0.000,1349,431,197,0,6,0,0,0,431,112122,185.6,200.0,81.8
5415,30.404,0.000,0.000,0.000,0.000,0.000,0.000,1355,428,197,0,6,0,0,0,428,77494,184.2,200.0,79.6
5439,7.917,0.000,0.000,0.000,0.000,0.000,0.000,1361,436,197,0,0,0,0,0,436,2207854,184.8,200.0,80.6
5467,8.323,0.000,0.000,0.000,0.000,0.000,0.000,1361,427,197,0,6,0,0,0,427,63736,185.6,200.0,81.8
5503,8.797,0.000,0.000,0.000,0.000,0.000,0.000,1367,425,197,0,6,0,0,0,425,63732,186.6,200.0,83.2
5530,9.259,0.000,0.000,0.000,0.000,0.000,0.000,1373,429,197,0,5,0,0,0,429,77496,185.8,200.0,82.1
5557,9.080,0.000,0.000,0.000,0.000,0.000,0.000,1378,446,197,0,0,0,0,0,446,2139256,186.7,200.0,83.2
5582,8.382,0.000,0.000,0.000,0.000,0.000,0.000,1378,429,197,0,0,0,0,0,429,77496,186.7,200.0,83.2
5620,8.689,0.000,0.000,0.000,0.000,0.000,0.000,1378,441,197,0,0,0,0,0,441,1987596,187.7,200.0,84.7
5647,10.264,0.000,0.000,0.000,0.000,0.000,0.000,1378,433,197,0,0,0,0,0,433,63748,186.9,200.0,83.5
5708,8.074,0.000,0.000,0.000,0.000,0.000,0.000,1378,441,197,0,0,0,0,0,441,2172996,188.5,200.0,86.0
5727,8.335,0.000,0.000,0.000,0.000,0.000,0.000,1378,433,197,0,0,0,0,0,433,63748,188.0,200.0,85.3
5766,8.748,0.000,0.000,0.000,0.000,0.000,0.000,1378,440,197,0,0,0,0,0,440,2161156,188.0,200.0,85.3
5796,9.227,0.000,0.000,0.000,0.000,0.000,0.000,1378,428,197,0,0,0,0,0,428,25804,188.7,200.0,86.3
5826,14.729,0.000,0.000,0.000,0.000,0.000,0.000,1378,424,197,0,0,0,0,0,424,31100,187.8,200.0,84.8
5852,10.160,0.000,0.000,0.000,0.000,0.000,0.000,1378,446,197,0,0,0,0,0,446,2182468,188.5,200.0,86.0
5878,9.067,0.000,0.000,0.000,0.000,0.000,0.000,1378,425,197,0,0,0,0,0,425,31102,189.2,200.0,87.1
5911,9.476,0.000,0.000,0.000,0.000,0.000,0.000,1378,423,197,0,0,0,0,0,423,31098,188.3,200.0,85.7
5934,9.172,0.000,0.000,0.000,0.000,0.000,0.000,1378,444,197,0,0,0,0,0,444,2156966,188.9,200.0,86.7
5965,9.358,0.000,0.000,0.000,0.000,0.000,0.000,1378,424,197,0,0,0,0,0,424,31100,189.7,200.0,87.8
6028,12.331,0.000,0.000,0.000,0.000,0.000,0.000,1378,423,197,0,0,0,0,0,423,31098,189.7,200.0,87.8
6048,7.867,0.000,0.000,0.000,0.000,0.000,0.000,1378,405,197,0,0,0,0,0,405,5102,190.2,200.0,88.6
6077,8.422,0.000,0.000,0.000,0.000,0.000,0.000,1378,426,197,0,0,0,0,0,426,29310,189.4,200.0,87.4
6104,8.731,0.000,0.000,0.000,0.000,0.000,0.000,1378,446,197,0,0,0,0,0,446,2236678,190.1,200.0,88.6
6131,8.222,0.000,0.000,0.000,0.000,0.000,0.000,1378,426,197,0,0,0,0,0,426,29310,190.1,200.0,88.6
6166,8.918,0.000,0.000,0.000,0.000,0.000,0.000,1378,423,197,0,0,0,0,0,423,77484,191.0,200.0,90.0
6192,8.762,0.000,0.000,0.000,0.000,0.000,0.000,1378,422,197,0,0,0,0,0,422,31096,190.4,200.0,88.9
6217,8.697,0.000,0.000,0.000,0.000,0.000,0.000,1378,440,197,0,0,0,0,0,440,2120430,191.0,200.0,90.1
6246,8.150,0.000,0.000,0.000,0.000,0.000,0.000,1378,423,197,0,0,0,0,0,423,31098,190.3,200.0,88.9
6280,9.779,0.000,0.000,0.000,0.000,0.000,0.000,1378,442,197,0,0,0,0,0,442,2015734,191.2,200.0,90.3
6303,10.228,0.000,0.000,0.000,0.000,0.000,0.000,1378,423,197,0,0,0,0,0,423,31098,190.6,200.0,89.3
6363,8.685,0.000,0.000,0.000,0.000,0.000,0.000,1378,442,197,0,0,0,0,0,442,2015734,192.2,200.0,91.8
6420,8.004,0.000,0.000,0.000,0.000,0.000,0.000,1348,420,197,0,6,0,0,0,420,31092,191.7,200.0,91.0
6431,46.658,0.000,0.000,0.000,0.000,0.000,0.000,1354,439,197,0,0,0,0,0,439,1992056,190.4,200.0,89.0
6501,10.390,0.000,0.000,0.000,0.000,0.000,0.000,1354,444,197,0,0,0,0,0,444,2037294,192.3,200.0,91.9
6527,11.611,0.000,0.000,0.000,0.000,0.000,0.000,1354,421,197,0,6,0,0,0,421,31094,191.6,200.0,90.9
6555,12.578,0.000,0.000,0.000,0.000,0.000,0.000,1360,439,197,0,0,0,0,0,439,2002796,190.8,200.0,89.5
6581,8.464,0.000,0.000,0.000,0.000,0.000,0.000,1360,442,197,0,0,0,0,0,442,2113962,191.4,200.0,90.5
6612,10.982,0.000,0.000,0.000,0.000,0.000,0.000,1360,429,197,0,0,0,0,0,429,27838,192.2,200.0,91.8
6641,10.529,0.000,0.000,0.000,0.000,0.000,0.000,1360,425,197,0,6,0,0,0,425,31102,191.5,200.0,90.6
6664,9.412,0.000,0.000,0.000,0.000,0.000,0.000,1366,443,197,0,0,0,0,0,443,2046772,192.1,200.0,91.5
6691,9.797,0.000,0.000,0.000,0.000,0.000,0.000,1366,427,197,0,6,0,0,0,427,31106,191.4,200.0,90.4
6722,10.507,0.000,0.000,0.000,0.000,0.000,0.000,1372,443,197,0,0,0,0,0,443,2037978,192.3,200.0,91.8
6757,7.980,0.000,0.000,0.000,0.000,0.000,0.000,1372,438,197,0,5,0,0,0,438,45392,191.5,200.0,90.5
6810,12.027,0.000,0.000,0.000,0.000,0.000,0.000,1377,440,197,0,0,0,0,0,440,1900102,193.1,200.0,92.7
6831,10.024,0.000,0.000,0.000,0.000,0.000,0.000,1377,438,197,0,0,0,0,0,438,78206,192.6,200.0,91.9
6865,10.806,0.000,0.000,0.000,0.000,0.000,0.000,1377,439,197,0,0,0,0,0,439,1782202,191.5,200.0,90.4
6891,8.984,0.000,0.000,0.000,0.000,0.000,0.000,1377,446,197,0,0,0,0,0,446,1848448,192.2,200.0,91.3
6922,12.030,0.000,0.000,0.000,0.000,0.000,0.000,1377,440,197,0,0,0,0,0,440,78210,191.4,200.0,89.8
6950,10.399,0.000,0.000,0.000,0.000,0.000,0.000,1377,444,197,0,0,0,0,0,444,1943080,192.2,200.0,91.1
6973,8.060,0.000,0.000,0.000,0.000,0.000,0.000,1377,437,197,0,0,0,0,0,437,31126,191.7,200.0,90.1
7009,9.235,0.000,0.000,0.000,0.000,0.000,0.000,1377,446,197,0,0,0,0,0,446,2030952,192.6,200.0,91.5
7030,11.014,0.000,0.000,0.000,0.000,0.000,0.000,1377,436,197,0,0,0,0,0,436,31124,192.0,200.0,90.5
7083,7.489,0.000,0.000,0.000,0.000,0.000,0.000,1377,443,197,0,0,0,0,0,443,1943078,192.8,200.0,88.0
7105,7.386,0.000,0.000,0.000,0.000,0.000,0.000,1377,466,197,0,0,0,0,0,466,3154338,192.5,200.0,88.9
7139,8.528,0.000,0.000,0.000,0.000,0.000,0.000,1377,433,197,0,0,0,0,0,433,866,191.9,200.0,90.5
7178,9.149,0.000,0.000,0.000,0.000,0.000,0.000,1377,432,197,0,0,0,0,0,432,864,192.3,200.0,88.5
7197,8.115,0.000,0.000,0.000,0.000,0.000,0.000,1377,463,197,0,0,0,0,0,463,3113214,192.1,200.0,89.4
7229,9.080,0.000,0.000,0.000,0.000,0.000,0.000,1377,435,197,0,0,0,0,0,435,870,191.6,200.0,90.7
7268,12.509,0.000,0.000,0.000,0.000,0.000,0.000,1377,431,197,0,0,0,0,0,431,862,192.1,200.0,88.9
7284,13.724,0.000,0.000,0.000,0.000,0.000,0.000,1377,466,197,0,0,0,0,0,466,2987130,191.7,200.0,89.9
7346,8.547,0.000,0.000,0.000,0.000,0.000,0.000,1377,430,197,0,0,0,0,0,430,860,192.4,200.0,86.9
7379,9.509,0.000,0.000,0.000,0.000,0.000,0.000,1377,463,197,0,0,0,0,0,463,2954624,191.9,200.0,88.5
7399,8.940,0.000,0.000,0.000,0.000,0.000,0.000,1377,437,197,0,0,0,0,0,437,874,191.9,200.0,88.5
